latitude,longitude,label
-34.614965116666667,-58.367664916666662,6
-34.656396740000005,-58.397953940000001,5
-34.600254842857147,-58.412035257142854,7
-34.63331637142857,-58.369974571428564,7
-34.589935557142859,-58.391347571428568,7
-34.600431314285714,-58.371989985714286,7
-34.608670590000003,-58.394266150000007,10
-34.644803442857146,-58.427756500000001,7
-34.667651174999996,-58.360367800000006,4
-34.625205811111108,-58.399320844444446,9
-34.569312844444454,-58.4083823,9
-34.59120286666667,-58.373921683333329,6
-34.604662135714285,-58.379399499999998,14
-34.621304012499998,-58.420988549999997,8
-34.579795875000002,-58.424628812500004,8
